,name,twitter_uk
188,Land Rover,LandRover_UK
159,Radox,RadoxUK
352,TK Maxx,TKMaxx_UK
438,Nando's,NandosUK
60,Mars,MarsUK
281,Nissan,NissanUK
85,McCain,McCainUKIE
456,Bacardi,BacardiUK
431,Bounty,BountyUK
599,Peugeot,PeugeotUK
264,Ben & Jerry's,benandjerrysUK
244,Dyson,DysonUK
15,McVitie's,McVitiesUK
92,Visa,VisaUK
116,Tic Tac,tictacUK
375,Babybel,Babybel_UK
80,Birds Eye,BirdsEyeUK
58,Kleenex,Kleenex_UK
702,Red Bull,RedBullUK
342,Volvo,VolvoCarUK
205,Snickers,SNICKERSUK
75,Aldi,AldiUK
225,Skittles,uk_skittles
403,Malibu,MalibuUK
690,Dr Pepper,UkPepper
207,AA,TheAA_UK
47,Toblerone,TobleroneUK
35,Tesco,TescosUK
126,Panasonic,PanasonicUK
41,Colgate,ColgateUK
367,Head & Shoulders,headshouldersuk
350,BMW,BMW_UK
71,Vaseline,VaselineUK
337,KFC,KFC_UKI
56,Dettol,Dettol_UK
32,Boots,BootsUK
25,Samsung,SamsungUK
277,Odeon,ODEONMetroUK
132,M&M's,mmsuk
94,Tesco Express,TescosUK
347,Honda,Honda_UK
612,Sports Direct,SportsDirectUK
121,Quality Street,QualityStreetUK
10,Heinz,HeinzUK
215,Sprite,uk_sprite
125,Hellmann's,HellmannsUK
129,Morrisons,Morrisons_UK
371,Trebor Extra Strong Mints,trebor_uk
1044,BP,bp_UK
81,Lidl,IidlUK
682,Xbox,xboxuk
118,Oral-B,OralBuk
72,Celebrations,UKCelebrations
919,American Express,AmexUK
270,Jaguar,JaguarUK
226,Branston,BranstonUK
211,Porsche,PorscheUK
499,Sky,SkyUK
120,Philips,philips_uk
0,Maltesers,MaltesersUK
329,Domino's Pizza,Dominos_UK
130,Nintendo,NintendoUK
51,Nivea,niveauk
635,Center Parcs,CenterParcsUK
331,Travelodge,TravelodgeUK
339,MasterCard,MastercardUK
300,Hoover,Hoover_UK
306,Matalan,MatalanUk
201,Ford,forduk
196,Doritos,DoritosUK
29,Dove,DoveUK
1062,Shell,Shell_UKLtd
453,Stella Artois,StellaArtoisUK
44,Andrex,AndrexUK
365,Casio,CasioMusicUK
185,Levi's,Levis_UK
295,Halfords,Halfords_uk
341,Dolmio,dolmio_uk
5,Cadbury,CadburyUK
78,Hula Hoops,HulaHoopsUK
654,Heineken,Heineken_UK
509,EuroMillions,UK_EuroMillions
22,Sony,SonyUK
401,PC World,PCWorld_UK
490,Nesquik,Nesquick_UK
479,Häagen-Dazs Cookies and Cream Ice Cream,haagendazsuk
995,HSBC UK,HSBC_UK
315,Audi,AudiUK
128,Adidas,adidasUK
397,National Express,NationalUk
547,Jack Daniel's,JackDanielsUK
583,Hyundai,Hyundai_UK
317,Kettle Chips Salt and Vinegar,KETTLEChipsUK
257,Volkswagen,UKVolkswagen
59,Warner Bros.,WarnerBrosUK
696,Renault,renault_uk
206,PayPal,PayPalUK
62,Pringles,Pringles_UK
202,Haribo,HariboUKI_
265,Subway,SubwayUK
210,HP,HPUK
385,Burger King,BurgerKingUK
689,Fiat,FIAT_UK
379,Pizza Hut,pizzahutuk
179,Russell Hobbs,RussellHobbsUK
8,Magnum,MagnumUK
55,Kellogg's,KelloggsUKI
459,McDonald's,McDonaldsUK
425,Santander,santanderuk
168,Gillette,GilletteUK
167,Aquafresh,AquafreshUK
247,Playstation,PlayStationUK
115,Nestlé,NestleUKI
364,Oreo,OreoUki
248,LG,LGUK
190,Disney,Disney_UK
43,Argos,ArgosDeliveryUK
229,Mercedes-Benz,MercedesBenzUK
592,Starbucks,StarbucksUK
318,The Body Shop,TheBodyShopUK
921,Thomas Cook,ThomasCookUK
68,Lindt,LindtUK
323,Toyota,ToyotaUK
